isoform	chrom	strand	length	exons	structural_category	associated_gene	associated_transcript	ref_length	ref_exons	diff_to_TSS	diff_to_TTS	subcategory	RTS_stage	all_canonical	min_sample_cov	min_cov	min_cov_pos	sd_cov	FL	n_indels	n_indels_junc	bite	iso_exp	gene_exp	ratio_exp	FSM_class	coding	ORF_length	CDS_length	CDS_start	CDS_end	perc_A_downstream_TTS
PB.577.2	chr1	-	2904	12	full-splice_match	SV2A	ENST00000369145.1	2903	12	-1	0	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	C	coding	682	2049	452	2500	90.0
PB.5307.1	chr2	+	2407	6	novel_in_catalog	ASNSD1	novel	968	6	NA	NA	combination_of_known_junctions	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	643	1932	371	2302	15.0
PB.4538.4	chr19	-	2128	9	full-splice_match	ISYNA1	ENST00000577916.6	2148	9	27	-7	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	476	1431	600	2030	5.0
PB.447.2	chr1	+	1466	12	incomplete-splice_match	MTF2	ENST00000370298.8	4125	15	3	5359	3prime_fragment	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	393	1179	287	1465	85.0
PB.2110.4	chr12	-	1501	7	full-splice_match	PTGES3	ENST00000414274.7	1547	7	61	-15	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	130	393	228	620	10.0
PB.2110.3	chr12	-	1658	8	full-splice_match	PTGES3	ENST00000262033.10	1920	8	15	247	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	160	483	287	769	10.0
PB.2110.2	chr12	-	1835	8	full-splice_match	PTGES3	ENST00000262033.10	1920	8	76	9	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	160	483	226	708	30.0
PB.2110.1	chr12	-	2350	8	novel_in_catalog	PTGES3	novel	2939	8	NA	NA	combination_of_known_junctions	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	164	495	729	1223	30.0
PB.3189.1	chr16	-	2891	1	novel_in_catalog	RP11-473M20.7	novel	779	4	55	4427	mono-exon_by_intron_retention	FALSE	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	A	non_coding	NA	NA	NA	NA	85.0
PB.3742.1	chr17	+	2307	8	full-splice_match	PIPOX	ENST00000323372.8	2414	8	111	-4	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	A	coding	390	1173	216	1388	5.0
PB.6488.1	chr3	+	2224	16	full-splice_match	MFSD1	ENST00000622669.4	2361	16	137	0	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	465	1398	91	1488	15.0
PB.6488.2	chr3	+	4017	16	full-splice_match	MFSD1	ENST00000622669.4	2361	16	185	-1841	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	C	coding	465	1398	43	1440	30.0
PB.8351.2	chr8	+	2089	15	full-splice_match	ELP3	ENST00000256398.12	3452	15	301	1062	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	547	1644	77	1720	40.0
PB.8351.1	chr8	+	3165	15	full-splice_match	ELP3	ENST00000256398.12	3452	15	279	8	multi-exon	TRUE	canonical	NA	NA	NA	NA	NA	2	NA	TRUE	NA	NA	NA	C	coding	547	1644	99	1742	40.0
PB.124.2	chr1	-	2069	1	incomplete-splice_match	ECE1	ENST00000415912.6	5099	19	126186	3	mono-exon	FALSE	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	C	coding	128	387	1222	1608	5.0
PB.206.2	chr1	-	1536	10	full-splice_match	SNRNP40	ENST00000263694.8	1597	10	-48	109	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	C	coding	357	1074	68	1141	30.0
PB.1280.2	chr10	+	4249	19	full-splice_match	SEC23IP	ENST00000369075.7	7168	19	-5	2924	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	1000	3003	78	3080	20.0
PB.5555.2	chr20	-	3592	2	novel_not_in_catalog	NANP	novel	3964	2	NA	NA	any annotated donor/acceptor	FALSE	canonical	NA	NA	NA	NA	NA	2	NA	TRUE	NA	NA	NA	C	coding	141	426	822	1247	25.0
PB.5555.1	chr20	-	3171	2	full-splice_match	NANP	ENST00000304788.3	3964	2	153	640	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	248	747	75	821	30.0
PB.1280.1	chr10	+	4663	19	full-splice_match	SEC23IP	ENST00000369075.7	7168	19	-8	2513	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	2	NA	TRUE	NA	NA	NA	C	coding	1000	3003	81	3083	15.0
PB.4086.1	chr17	+	2311	4	full-splice_match	BIRC5	ENST00000350051.7	2630	4	52	267	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	2	NA	TRUE	NA	NA	NA	C	coding	142	429	68	496	30.0
PB.7847.4	chr7	+	2036	5	novel_not_in_catalog	C1GALT1	novel	802	4	NA	NA	any annotated donor/acceptor	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	363	1092	329	1420	35.0
PB.4086.3	chr17	+	1162	4	full-splice_match	BIRC5	ENST00000350051.7	2630	4	55	1413	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	142	429	65	493	30.0
PB.4086.2	chr17	+	1645	4	full-splice_match	BIRC5	ENST00000350051.7	2630	4	52	933	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	C	coding	142	429	68	496	10.0
PB.4086.5	chr17	+	1718	5	full-splice_match	BIRC5	ENST00000301633.8	2711	5	72	921	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	C	coding	165	498	60	557	30.0
PB.4086.4	chr17	+	2248	5	novel_not_in_catalog	BIRC5	novel	2711	5	NA	NA	any annotated donor/acceptor	FALSE	canonical	NA	NA	NA	NA	NA	15	1	TRUE	NA	NA	NA	C	coding	142	429	64	492	20.0
PB.4086.7	chr17	+	2359	5	full-splice_match	BIRC5	ENST00000301633.8	2711	5	87	265	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	2	NA	TRUE	NA	NA	NA	C	coding	165	498	45	542	30.0
PB.4086.6	chr17	+	1512	3	full-splice_match	BIRC5	ENST00000374948.6	2446	3	-1	935	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	137	414	55	468	10.0
PB.4294.2	chr19	+	3533	1	full-splice_match	CTB-25B13.5	ENST00000594262.1	1100	1	-2434	1	mono-exon	FALSE	NA	NA	NA	NA	NA	NA	15	NA	NA	NA	NA	NA	A	coding	109	330	2082	2411	95.0
PB.5111.3	chr2	+	729	4	full-splice_match	MRPL35	ENST00000337109.8	3727	4	24	2974	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	188	567	11	577	30.0
PB.7755.3	chr6	-	2551	8	full-splice_match	NUP43	ENST00000340413.6	3874	8	51	1272	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	2	NA	TRUE	NA	NA	NA	C	coding	380	1143	27	1169	10.0
PB.2476.1	chr13	+	3551	27	full-splice_match	FARP1	ENST00000319562.10	10262	27	-28	6739	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	2	NA	TRUE	NA	NA	NA	A	coding	1045	3138	294	3431	15.0
PB.5487.5	chr20	+	2090	12	novel_in_catalog	NOP56	novel	2400	12	NA	NA	combination_of_known_junctions	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	339	1020	30	1049	15.0
PB.578.1	chr1	-	1992	6	full-splice_match	SF3B4	ENST00000271628.8	2085	6	92	1	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	A	coding	424	1275	494	1768	10.0
PB.3372.2	chr16	+	3132	5	novel_in_catalog	TMEM188	novel	2965	7	NA	NA	combination_of_known_junctions	FALSE	canonical	NA	NA	NA	NA	NA	3	NA	TRUE	NA	NA	NA	C	non_coding	NA	NA	NA	NA	20.0
PB.3372.3	chr16	+	2075	6	full-splice_match	TMEM188	ENST00000427478.6	2117	6	42	0	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	2	NA	TRUE	NA	NA	NA	C	coding	125	378	69	446	15.0
PB.250.1	chr1	+	2688	6	full-splice_match	ZC3H12A	ENST00000373087.6	2684	6	-10	6	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	3	NA	TRUE	NA	NA	NA	A	coding	599	1800	127	1926	20.0
PB.3372.1	chr16	+	2141	7	full-splice_match	TMEM188	ENST00000458059.7	2965	7	815	9	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	142	429	92	520	20.0
PB.5794.1	chr21	+	1951	1	genic	AF042090.2	novel	NA	NA	NA	NA	mono-exon	FALSE	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	C	non_coding	NA	NA	NA	NA	25.0
PB.5794.2	chr21	+	1192	3	full-splice_match	AF042090.2	ENST00000422749.5	1185	3	-14	7	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	non_coding	NA	NA	NA	NA	15.0
PB.5794.3	chr21	+	2280	1	genic	AF042090.2	novel	NA	NA	NA	NA	mono-exon	FALSE	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	C	non_coding	NA	NA	NA	NA	15.0
PB.2516.2	chr14	+	3524	8	novel_in_catalog	DUXAP9	novel	596	5	NA	NA	combination_of_known_junctions	FALSE	canonical	NA	NA	NA	NA	NA	2	NA	TRUE	NA	NA	NA	B	non_coding	NA	NA	NA	NA	85.0
PB.8045.1	chr7	+	2427	8	incomplete-splice_match	AKAP9	ENST00000358100.6	10309	37	-230	88507	3prime_fragment	TRUE	canonical	NA	NA	NA	NA	NA	5	NA	TRUE	NA	NA	NA	A	coding	732	2196	231	2426	65.0
PB.5575.1	chr20	-	1977	12	full-splice_match	NECAB3	ENST00000246190.10	1989	12	11	1	multi-exon	TRUE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	396	1191	46	1236	5.0
PB.8625.1	chr8	-	1279	2	full-splice_match	COMMD5	ENST00000402718.4	1305	2	14	12	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	224	675	119	793	35.0
PB.2975.1	chr15	-	2025	8	full-splice_match	RBPMS2	ENST00000300069.4	2008	8	-33	16	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	A	coding	209	630	302	931	80.0
PB.7755.2	chr6	-	3932	9	novel_not_in_catalog	NUP43	novel	3874	8	NA	NA	any annotated donor/acceptor	FALSE	canonical	NA	NA	NA	NA	NA	2	NA	TRUE	NA	NA	NA	C	coding	333	1002	44	1045	30.0
PB.6291.3	chr3	+	3144	11	incomplete-splice_match	FLNB	ENST00000490882.5	8079	47	22	64304	3prime_fragment	TRUE	canonical	NA	NA	NA	NA	NA	2	NA	TRUE	NA	NA	NA	C	coding	612	1839	144	1982	80.0
PB.5846.1	chr22	+	757	4	full-splice_match	MRPL40	ENST00000333130.3	1387	4	634	-4	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	A	coding	206	621	20	640	15.0
PB.9157.1	chrX	-	4219	2	full-splice_match	ERCC6L	ENST00000334463.3	4243	2	22	2	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	A	coding	1250	3753	115	3867	10.0
PB.4094.1	chr17	+	2885	4	full-splice_match	C1QTNF1	ENST00000579760.5	1672	4	99	-1312	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	12	NA	TRUE	NA	NA	NA	C	coding	281	846	341	1186	10.0
PB.4094.2	chr17	+	2696	4	full-splice_match	C1QTNF1	ENST00000581774.5	1368	4	209	-1537	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	1	NA	TRUE	NA	NA	NA	C	coding	281	846	155	1000	15.0
PB.4636.3	chr19	-	1936	16	full-splice_match	SARS2	ENST00000221431.10	2057	16	118	3	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	518	1557	43	1599	20.0
PB.5575.2	chr20	-	1906	13	full-splice_match	NECAB3	ENST00000375238.8	1942	13	35	1	multi-exon	FALSE	canonical	NA	NA	NA	NA	NA	0	NA	TRUE	NA	NA	NA	C	coding	362	1089	77	1165	5.0
